date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kinsa_cases,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,deathIncrease,deathCumulative
2020-03-07,202010,AR,05,7376.0,4801.0,2603.0,744.0,1230.0,-261.0,9.914942919787649,0.006023719372907343,0.009295427546871888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,202011,AR,05,4355.0,6121.0,1593.0,822.0,889.0,29.0,6.592293146338315,0.006430516005882905,0.00871252647034952,,12.0,59.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,202012,AR,05,-4542.0,5133.0,545.0,-360.0,-6722.0,1085.0,6.155792809105402,0.006039365397252558,0.007409484317009643,,106.0,502.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,202013,AR,05,-11095.0,-2073.0,1643.0,-1913.0,-12548.0,1515.0,3.755269780047223,0.0050693118878492975,0.005490337861269544,,286.0,2371.0,2657.0,51.0,0.0,67.0,0.0,5.0,5.0
2020-04-04,202014,AR,05,-9912.0,963.0,748.0,-2467.0,-12513.0,1550.0,0.9931231866174428,0.004631223206183309,0.004477270547262948,,339.0,6689.0,7028.0,157.0,0.0,320.0,106.0,9.0,14.0
2020-04-11,202015,AR,05,-5567.0,-43.0,1792.0,-3154.0,-14019.0,1574.0,0.16472351287272222,0.004333948743624245,0.0036250544163979673,,483.0,7725.0,8208.0,202.0,0.0,1489.0,42.0,11.0,25.0
2020-04-18,202016,AR,05,-3593.0,-748.0,729.0,-2885.0,-13975.0,1487.0,0.016662653566085144,0.0035829395750539782,0.003019280006493076,,513.0,5050.0,5563.0,177.0,0.0,3518.0,291.0,13.0,38.0
2020-04-25,202017,AR,05,-2907.0,-335.0,1120.0,-2573.0,-12174.0,1547.0,7.576062689733519e-06,0.002894514503864568,0.0020681920474584768,,1090.0,12822.0,13912.0,172.0,0.0,5937.0,0.0,10.0,48.0
2020-05-02,202018,AR,05,-1432.0,938.0,2712.0,-1746.0,-11291.0,1177.0,7.254604287549111e-05,0.0005632568764276997,0.0004286905385563237,,543.0,12986.0,13529.0,154.0,0.0,9632.0,414.0,24.0,72.0
2020-05-09,202019,AR,05,,,,,,,,,,,375.0,13571.0,13946.0,108.0,0.0,15415.0,57.0,16.0,88.0
2020-03-07,202010,CA,06,2877.0,2594.0,5054.0,665.0,734.0,-170.0,9.42101670125335,0.049676127296054064,0.05815581904979746,0.2,16.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-14,202011,CA,06,601.0,4611.0,2970.0,-1990.0,-523.0,545.0,9.826803514269276,0.04454423131082391,0.051651676025057366,0.9,183.0,454.0,637.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-03-21,202012,CA,06,-9885.0,2632.0,-4108.0,-8445.0,-10778.0,3915.0,8.087629255309674,0.04063272522452045,0.04201388632691159,2.0,1027.0,10333.0,11360.0,0.0,0.0,0.0,0.0,22.0,25.0
2020-03-28,202013,CA,06,-16772.0,-6561.0,-7828.0,-13020.0,-16287.0,5490.0,2.9767750548144405,0.035031448508933874,0.031160858561636258,3.1,3364.0,9300.0,12664.0,0.0,610.0,0.0,1034.0,85.0,110.0
2020-04-04,202014,CA,06,-16090.0,-5607.0,-8043.0,-13205.0,-17096.0,5392.0,1.3292690367263915,0.03085396000876177,0.02660021102494669,3.2,7383.0,81125.0,88508.0,0.0,5163.0,0.0,1783.0,179.0,289.0
2020-04-11,202015,CA,06,-14880.0,-5612.0,-11511.0,-13847.0,-17992.0,5811.0,0.4493271967162106,0.027787339237099848,0.02186912026208413,3.4,7446.0,50930.0,58376.0,0.0,8255.0,0.0,4344.5,315.0,604.0
2020-04-18,202016,CA,06,-15859.0,-5252.0,-8060.0,-12248.0,-16858.0,5353.0,0.3400108033459757,0.022358168789310632,0.017115156165839047,2.9,9491.0,78099.0,87590.0,0.0,9986.0,0.0,2763.75,536.0,1140.0
